timestamp_dt,total_logs,warnings,xml_payloads,function_inputs,responses,unique_correlations,warning_ratio,hour,sin_hour,cos_hour,anomaly_score
2026-01-06 18:13:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:14:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:15:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:16:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:17:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:18:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:19:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:20:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:21:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:22:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:23:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:24:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:25:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:26:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:27:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:28:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:29:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:30:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:31:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:32:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
2026-01-06 18:33:00+00:00,0,0,0,0,0,0,0.0,18,-1.0,-1.8369701987210297e-16,1
